id,content,type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation,category,chapter,image
219,数控机床回零可以不按一定顺序，各轴任意先后。,judge,正确,错误,,,,,错,,,数控车,
220,数控机床就是在普通机床上装上数控单元。,judge,正确,错误,,,,,错,,,数控车,
221,数控车编程时，其中X是绝对坐标里表示横向的坐标轴。W是相对坐标里表示纵向的坐标轴。,judge,正确,错误,,,,,对,,,数控车,
222,数控加工在切削原理上与切削加工相同。,judge,正确,错误,,,,,对,,,数控车,
223,数控机床生产效率高的原因是____。,single,主轴转速高,在加工过程中，自动换刀、无需对刀和测量,背吃刀量大,,,,B,,,数控车,
224,经济型数控车与标准数控车不同，刀具顺时针移动，用____指令完成轨迹移动。,single,G00,G01,G02,G03,,,D,,,数控车,
225,在G00程序段中，____值将不起作用。,single,X,S,F,T,,,C,,,数控车,
226,可用作快速定位的准备功能代码是____。,single,G00,G01,G02,G03,,,A,,,数控车,
227,数控车床是在普通车床上安装了下列哪些装置?,single,可转动的六角刀架,高频电源,数控和伺服单元,,,,C,,,数控车,
228,数控实习中，进给量F的单位是____。,single,毫米每分钟,毫米每转,米每秒,米每分钟,,,B,,,数控车,
229,数控加工与切削加工的不同之处在于____,single,加工过程,刀具,控制方式,切削运动,,,C,,,数控车,
230,数控车床编程时，X输入的是____。,single,工件的直径值,工件的半径值,刀具当前位置的坐标值,相对坐标值,,,A,,,数控车,
231,伺服电机是接受____发出的脉冲信息而工作的。,single,数控单元,主轴脉冲发生器,伺服单元,主轴箱,,,A,,,数控车,
232,CAPP的基本含义是计算机辅助____。,single,工艺设计,工艺过程,过程设计,生产规划,,,A,,,数控车,
233,镶齿端铣刀一般在立铣上应用，也可在卧铣上应用。,judge,正确,错误,,,,,对,,,铣刨磨工,
234,万能铣头可以把立铣改作卧铣使用。,judge,正确,错误,,,,,错,,,铣刨磨工,
235,平口钳可以装夹小型的六面体零件，也可以装夹轴类零件铣键槽等。,judge,正确,错误,,,,,对,,,铣刨磨工,
236,分度头的作用是装夹工件进行分度。,judge,正确,错误,,,,,对,,,铣刨磨工,
237,铣削直角槽，可用立铣刀，也可用圆盘铣刀。,judge,正确,错误,,,,,对,,,铣刨磨工,
238,铣轴上的键槽，可以在键槽铣床上进行，也可以在立铣上进行。,judge,正确,错误,,,,,对,,,铣刨磨工,
239,用卧铣加工齿轮时，用旋转工作台装夹。,judge,正确,错误,,,,,错,,,铣刨磨工,
240,燕尾槽可以直接用燕尾槽铣刀加工出来。,judge,正确,错误,,,,,对,,,铣刨磨工,
241,牛头刨床可以加工平面、沟槽和直线型的成型面。,judge,正确,错误,,,,,对,,,铣刨磨工,
242,牛头刨床上工件的装夹方法常用的有平口钳装夹和压板螺栓装夹。,judge,正确,错误,,,,,对,,,铣刨磨工,
243,牛头刨床加工的尺寸公差等级比铣削低。,judge,正确,错误,,,,,对,,,铣刨磨工,
244,龙门刨床可以加工大型零件上的平面和各种沟槽。,judge,正确,错误,,,,,对,,,铣刨磨工,
245,插床可以插削孔内的键槽。,judge,正确,错误,,,,,对,,,铣刨磨工,
246,在牛头刨床上刨削斜面时的进给运动一般是手动操纵刀架的斜向移动。,judge,正确,错误,,,,,对,,,铣刨磨工,
247,铸铁和普通碳钢可以磨削，而合金钢和淬火钢不能磨削。,judge,正确,错误,,,,,错,,,铣刨磨工,
248,磨削实际上是一种多刃刀具的超高速切削。,judge,正确,错误,,,,,对,,,铣刨磨工,
249,砂轮的硬度是指磨料本身所具有的硬度。,judge,正确,错误,,,,,错,,,铣刨磨工,
250,工件材料的硬度越高，选用的砂轮硬度也越高。,judge,正确,错误,,,,,错,,,铣刨磨工,
251,外圆磨削时工件的转动是主运动。,judge,正确,错误,,,,,错,,,铣刨磨工,
252,磨削内圆时，常用四爪卡盘装夹工件，并用百分表找正。,judge,正确,错误,,,,,对,,,铣刨磨工,
253,轴上平键槽一般在什么机床上加工?,single,立铣,插床,拉床,刨床,,,A,,,铣刨磨工,
254,铣削100mm×200mm的铸件水平面，最好用哪一种加工方法?,single,在卧铣上用圆柱铣刀,在立铣上用立铣刀,在立铣上用镶齿端铣刀,在卧铣上用三面刃铣刀,,,C,,,铣刨磨工,
255,在立铣上铣削零件上宽度为16mm的槽，应用什么铣刀?,single,三面刃铣刀,镶齿端铣刀,立铣刀,90°双角铣刀,,,C,,,铣刨磨工,
256,用镶齿端铣刀铣平面，粗糙度Ra值一般可达到____。,single,Ra=0.8—0.4μm,Ra=12.5—1.6μm,Ra=50—25μm,,,,B,,,铣刨磨工,
257,成形铣刀用于____。,single,切断工件,加工键槽,加工特形面,,,,C,,,铣刨磨工,
258,"铣削齿数为30的齿轮，每次分度时，分度头手柄应转多少(限用分度盘各圈的孔数为24,28,30)?",single,用24的孔圈转，转1圈加8个孔距,用28的孔圈转，转21个孔距,用30的孔圈转，转10个孔距,,,,C,,,铣刨磨工,
259,铣削六方螺钉头的六个侧面，最好采用什么加工方法?,single,在立铣的分度头上，用三面刃铣刀,在卧铣分度头上，用三面刃铣刀,在立铣的分度头上，用镶齿端铣刀,,,,B,,,铣刨磨工,
260,在工件上铣T形槽，应如何进行?,single,用T形铣刀直接加工,先用立铣刀铣出直槽，再铣T形槽,毛坯上必须先铸出T形槽,,,,B,,,铣刨磨工,
261,回转工作台的主要作用有____。,single,用来加工非整圆的弧面和槽,分度,A和B的两种作用,,,,C,,,铣刨磨工,
262,铣床能否进行钻、扩、铰孔?,single,不能,能,卧铣能，立铣不能,立铣能，卧铣不能,,,B,,,铣刨磨工,
263,每一号齿轮铣刀可以加工____。,single,一种齿数的齿轮,同一组内各种齿数的齿轮,同一模数，同一组内，不同齿数的齿轮,不同一模数，相同齿数的齿轮,,,C,,,铣刨磨工,
264,加工通孔内的平键槽(10件)，应用什么机床和刀具?,single,插齿机和插齿刀,键槽铣床和键槽铣刀,插床和插槽刀,立铣床和立铣刀,,,C,,,铣刨磨工,
265,牛头刨床行程长度一定时，切速大小取决于什么因素?,single,刨床传动齿轮的个数,刨刀行程位置,摇杆摆角的大小,滑枕每分钟的冲程次数,,,D,,,铣刨磨工,
266,牛头刨床能否加工T形槽?,single,不能,能,必需先铸出T形槽，才能刨削,,,,B,,,铣刨磨工,
267,加工200×30×20(mm)的板条状工件，在什么机床上效率最高?,single,立铣,卧铣,牛头刨床,车床(用四爪卡盘),,,C,,,铣刨磨工,
268,下列哪种表面可用牛头刨床加工?,single,回转成型面,三维曲面,垂直面和斜面,圆柱面,,,C,,,铣刨磨工,
269,毛坯为铸件，未铸槽，刨削图23中的燕尾槽，正确的方法是哪一种?,single,用符合燕尾槽形状的定形刨刀一次刨削完成,用左右两把定形刨刀，先后刨削完成,先刨削宽度为A的直槽，再分别刨削左右两边的燕尾部分,,,,C,,,铣刨磨工,fig_23
270,如图22所示，插削孔内键槽，主运动是哪一个?,single,插刀上下往复运动,工件向右水平移动,插刀向左水平移动,工件上下往复运动,,,A,,,铣刨磨工,fig_22
271,磨削冷却液通常使用的是:,single,机油,切削液,自来水,机油+水,,,D,,,铣刨磨工,
272,在外圆磨床上磨削锥度心轴，磨床应如何调整?,single,扳转工件头架,扳转砂轮头架,偏移尾架,扳转上工作台,,,B,,,铣刨磨工,
273,钢套上直径为φ35H6、Ra=0.2μm的孔，数量为2件，毛坯为棒料，应如何加工?,single,钻—镗—磨,钻—镗,钻—磨,,,,A,,,铣刨磨工,
274,外圆磨床的前顶尖不随工件转动，其目的是为____。,single,磨床制造简单,降低磨削表面的粗糙度,提高磨削精度,,,,C,,,铣刨磨工,
275,磨孔除用内圆磨床外，还可用什么磨床?,single,平面磨床,普通外圆磨床,万能外圆磨床,,,,C,,,铣刨磨工,
276,磨削较硬的材料应选用硬度____的砂轮?,single,软,硬,软、硬都可以,,,,A,,,铣刨磨工,
277,磨削图26所示轴件上粗糙度Ra=0.8μm的台肩面，工件应如何装夹?,single,用双顶尖和卡箍装夹,用三爪卡盘和尾顶尖装夹,用三爪卡盘装夹,用四爪卡盘装夹,,,A,,,铣刨磨工,fig_26
278,图27所示零件的上下平面，在磨削后可用什么量具测量其平行度误差?,single,钢板尺,游标卡尺,百分表,刀口尺和塞尺,,,C,,,铣刨磨工,fig_27
279,磨削图24所示零件的台肩面时，台肩面沿轴向接近砂轮的端面，是用手还是用自动?,single,手动,自动,手动和自动均可,,,,A,,,铣刨磨工,fig_24
280,图25示零件的锥孔与外圆轴线的同轴度公差为φ0.03，在内圆磨床上磨削锥孔时应如何装夹并找正?,single,用三爪卡盘装夹,用四爪卡盘装夹，划针盘找正外圆面,用四爪卡盘装夹，百分表找正外圆面,,,,C,,,铣刨磨工,fig_25
281,图28中小套数量为4件，其孔应如何加工?,single,钻—粗镗—精镗,钻—磨,钻—镗—磨,,,,C,,,铣刨磨工,fig_28
282,万能外圆磨床比普通外圆磨床扩大了什么加工范围?,single,可磨平面,可磨内圆,可磨沟槽,,,,B,,,铣刨磨工,
283,以下各种孔加工，哪些可在铣床上进行?,multi,钻孔,磨孔,镗孔,拉孔,,,AC,,,铣刨磨工,
284,下列附件中，哪些可以用来进行分度加工?,multi,万能铣头,回转工作台,分度头,平口钳,,,BC,,,铣刨磨工,
285,铣斜面可用下面哪些方法?,multi,偏转工作台,偏转铣刀,用角度铣刀,偏移尾架,,,ABC,,,铣刨磨工,
286,下列哪几种机床可以用来加工轴上的封闭键槽?,multi,立式铣床,卧式铣床,键槽铣床,刨床,,,AC,,,铣刨磨工,
287,下列哪几种沟槽可在铣床上加工?,multi,直线型T形槽,燕尾槽,外圆上的回转槽,孔内的回转槽,,,AB,,,铣刨磨工,
288,在卧铣上加工什么表面时，需要使用分度头装夹?,multi,斜面,键槽,齿轮轮齿,螺旋槽,,,CD,,,铣刨磨工,
289,铣平面常用的铣刀有:,multi,镶齿端铣刀,盘状模数铣刀,成形铣刀,三面刃铣刀,,,AD,,,铣刨磨工,
290,下列哪几种表面可以进行磨削加工?,multi,方孔,平面,内外圆柱面,内外圆锥面,,,BCD,,,铣刨磨工,
291,在万能外圆磨床上磨削图25所示零件的锥孔，可选用下列哪些方法?,multi,扳转上工作台,扳转工件头架,扳转砂轮头架,,,,ABC,,,铣刨磨工,fig_25
292,万能外圆磨床可磨削下列哪几种表面?,multi,内圆,内锥面,外圆,平面,,,ABCD,,,铣刨磨工,
293,麻花钻头主要用于孔的粗加工。,judge,正确,错误,,,,,对,,,钳工,
294,攻丝是用板牙在圆杆上加工外螺纹的操作。,judge,正确,错误,,,,,错,,,钳工,
295,锯齿排列多为波形，目的是便于排屑。,judge,正确,错误,,,,,错,,,钳工,
296,划线的基准工具是方箱。,judge,正确,错误,,,,,错,,,钳工,
297,攻丝前钻孔，孔径应等于螺纹的小径。,judge,正确,错误,,,,,错,,,钳工,
298,攻丝时，头锥每转一周，应反转大于1/4周，目的是减小摩擦。,judge,正确,错误,,,,,错,,,钳工,
299,钻床钻孔时，钻头的旋转运动是进给运动。,judge,正确,错误,,,,,错,,,钳工,
300,钳工划线工具中用来确定轴和孔的中心位置的是划针。,judge,正确,错误,,,,,错,,,钳工,
301,用手进行平面划线作图的主要工具是划卡。,judge,正确,错误,,,,,错,,,钳工,
302,立体划线用的主要工具是划针盘。,judge,正确,错误,,,,,错,,,钳工,
303,钻深孔时，钻头应经常退出排屑，防止切屑堵塞，卡断钻头。,judge,正确,错误,,,,,对,,,钳工,
304,只要零件的加工精度高，就能保证产品的装配质量。,judge,正确,错误,,,,,错,,,钳工,
305,钻孔时应戴手套，以免铁屑划破手。,judge,正确,错误,,,,,错,,,钳工,
306,钻床不但可以钻孔，还可以完成很多工作。,judge,正确,错误,,,,,对,,,钳工,
307,锯割时的起锯角一般为45度左右。,judge,正确,错误,,,,,错,,,钳工,
308,锉削余量较大的平面时，应先采用顺向锉。,judge,正确,错误,,,,,错,,,钳工,
309,钳工的基本操作中，可以进行孔加工的方法有镗孔。,judge,正确,错误,,,,,错,,,钳工,
310,正常锯切时，锯条返回仍需加压，但要轻轻拉回，速度要慢。,judge,正确,错误,,,,,错,,,钳工,
311,钳口上的交叉网纹是防止工件滑动，使工件装夹可靠为目的。,judge,正确,错误,,,,,对,,,钳工,
312,粗锉较大的平面时，应用下列什么方法?,single,推锉,滚锉,交叉锉,,,,C,,,钳工,
313,锉平面修光时可用下列什么方法?,single,滚锉,推锉,交叉锉,,,,B,,,钳工,
314,锉削平键端部半圆弧面，应用什么方法?,single,推锉,顺锉,滚锉,交叉锉,,,C,,,钳工,
315,钻孔的尺寸公差等级一般为:,single,IT9—IT8,IT7—IT6,IT14—IT11,IT6—IT5,,,C,,,钳工,
316,钻孔的表面粗糙度Ra值一般为:,single,Ra=25—12.5μm,Ra=6.3—1.6μm,Ra=0.8—0.4μm,Ra=0.2—0.1μm,,,A,,,钳工,
317,下列螺纹哪些比较适宜用手动攻螺纹?,single,M6—M12的外螺纹,M6—M12的内螺纹,M24—M30的内螺纹,M24—M30的外螺纹,,,B,,,钳工,
318,对螺孔进行攻螺纹，一套丝锥一般有几个?,single,一个,两至三个,四个,,,,B,,,钳工,
319,锯切钢、铸铁及中等厚度的工件，应选用什么锯条?,single,粗齿锯条,中齿锯条,细齿锯条,,,,B,,,钳工,
320,锯切铜、铝及厚工件，应选用什么锯条?,single,细齿锯条,粗齿锯条,中齿锯条,,,,B,,,钳工,
321,锯条安装过紧或过松，用力过大，锯条易发生____。,single,折断,崩齿,磨损过快,,,,A,,,钳工,
322,锉削图29所示有阴影的表面，最好选用什么类型的锉刀?,single,方锉,三角锉,半圆锉,板锉（平锉）,,,D,,,钳工,fig_29
323,锉削图31中的锥面，最好选用什么类型的锉刀?,single,方锉,三角锉,平锉,圆锉,,,D,,,钳工,fig_31
324,锉削图31中的锥面，应选用什么锉削方法?,single,顺锉法,交叉锉法,滚锉法,推锉法,,,C,,,钳工,fig_31
325,加工图32中法兰盘上的螺孔，应采用什么加工方案?,single,钻孔---攻螺纹,扩孔--攻螺纹,铰孔--攻螺纹,镗孔--镗螺纹,,,A,,,钳工,fig_32
326,钻床除钻孔、扩孔、铰孔外，还可加工以下内容____。,single,锪孔,镗孔,铣键槽,铣平面,,,A,,,钳工,
327,铰孔时，铰刀不能倒转的原因是____。,single,防止损坏刀具,切削速度低,切削速度高,,,,A,,,钳工,
328,套螺纹时，圆杆直径应____。,single,大于螺纹大径,小于螺纹大径,等于螺纹大径,,,,B,,,钳工,
329,下列哪些属于可拆连接?,single,焊接,螺栓,铆接,压合,,,B,,,钳工,
330,图33所示的3个φ11的孔，其表面粗糙度Ra值若改为1.6μm，应如何加工?,single,划线—钻孔—铰孔,划线—钻孔—磨孔,划线—钻孔,划线—钻孔—扩孔,,,A,,,钳工,fig_33
331,车床主轴箱装配属于____。,single,组件装配,部件装配,总装配,,,,B,,,钳工,
332,将图示34的滚动轴承压入轴颈上，压力应施加在轴承的什么部位?,single,内圈上,外圈上,内外圈同时受力,,,,A,,,钳工,
333,使用手锯，起锯时锯条与工件表面应约成多大角度?,single,倾斜45度,倾斜30度,倾斜15度,平行,,,C,,,钳工,
334,在没有孔的工件上进行孔加工应选用____。,single,铰刀,锪钻,扩孔钻,麻花钻,,,D,,,钳工,
335,小螺孔底孔的底部为什么要设计成120度的锥面?,single,防止丝锥碰孔底,因钻头两个主切削刃成118度,为了图形美观,习惯画法,,,B,,,钳工,
336,制造锯条应选用什么材料?,single,高速钢,硬质合金,碳素工具钢,低碳钢,,,C,,,钳工,
337,扩孔的精度比铰孔精度____。,single,高,低,相同,,,,B,,,钳工,
338,尺寸小的内螺纹(如你们加工的螺母)通常用____刀具加工。,single,丝锥,螺纹车刀,板牙,,,,A,,,钳工,
339,单件小批生产中工件划线的作用是____。,multi,合理分配加工余量,检查毛坯的形状和尺寸是否合格,为保证工件的位置精度,作为工件安装和加工的依据,,,ABD,,,钳工,
340,划线工具中用来划线的工具有____。,multi,V型铁,划规,高度游标尺,方箱,,,BC,,,钳工,
341,用来进行平面划线作图的主要工具是____。,multi,划针,划规,划卡,划针盘,,,AB,,,钳工,
342,下列的锉削方法，哪些可用作平面的粗锉?,multi,顺锉法,交叉锉法,推锉法,滚锉法,,,AB,,,钳工,
343,滚锉法可以加工下列哪些表面?,multi,方孔,平面,内外圆弧面,内外倒角,,,CD,,,钳工,
344,以下哪几种孔加工可在钻床上进行?,multi,钻孔,锪孔,镗孔,铰孔,,,ABD,,,钳工,
345,下列加工工作哪些属于钳工的工作范围?,multi,工件锉削,手动攻螺纹,加工轴上键槽,工件划线,,,ABD,,,钳工,
346,锉削图29所示有阴影的表面，可应用哪些锉削方法?,multi,顺锉法,交叉锉法,推锉法,滚锉法,,,ABC,,,钳工,fig_29
347,粗锉图29所示有阴影的表面，可应用哪些锉削方法?,multi,推锉法,顺锉法,交叉锉法,滚锉法,,,BC,,,钳工,fig_29
348,如图29所示，用锉削修光有阴影的表面，可应用哪些锉削方法?,multi,推锉法,顺锉法,交叉锉法,滚锉法,,,AB,,,钳工,fig_29
349,锉削图30中的方孔，可选用什么类型的锉刀?,single,圆锉,方锉,三角锉,,,,B,,,钳工,fig_30
350,能完成铰孔工作的机床有____。,multi,车床,铣床,钻床,刨床,,,ABC,,,钳工,
351,钳工的基本操作中，可以进行孔加工的方法有____。,multi,锯切,铰孔,钻削,锉削,,,BCD,,,钳工,
352,在加工图33中3个φ11孔之前应进行哪些工作?,multi,划线,铰孔,在孔中心打样冲眼,加工锥孔,,,AC,,,钳工,fig_33
353,下列锉削方法，哪些可用作平面的修光?,multi,顺锉法,交叉锉法,推锉法,滚锉法,,,AC,,,钳工,
354,数控线切割机床在图形加工程序输入后，只能切出1:1的图形。,judge,正确,错误,,,,,错,,,特种加工,
355,电火花线切割加工与切削加工使用工作液类似，根据所加工材料不同，有时需用，有时也可不用。,judge,正确,错误,,,,,错,,,特种加工,
356,数控线切割机床工作台的移动是滚珠丝杠带动的。,judge,正确,错误,,,,,对,,,特种加工,
357,数控线切割加工所用的程序也可是G代码程序。,judge,正确,错误,,,,,对,,,特种加工,
358,数控线切割机床加工时，钼丝接脉冲电源负极，工件接正极。,judge,正确,错误,,,,,对,,,特种加工,
359,数控线切割的编程指令代码有3B和G代码两种。,judge,正确,错误,,,,,对,,,特种加工,
360,数控线切割加工编程时，计数长度应以mm为单位。,judge,正确,错误,,,,,错,,,特种加工,
361,激光切割可切割任意厚度的板材。,judge,正确,错误,,,,,错,,,特种加工,
362,激光加工是非接触式加工。,judge,正确,错误,,,,,对,,,特种加工,
363,激光可通过玻璃等透明材料对其内部非透明工件进行加工。,judge,正确,错误,,,,,对,,,特种加工,
364,线切割加工的工件材料，应具有什么物理性能?,single,导电性,绝缘性,有微弱的反光性,低熔点,,,A,,,特种加工,
365,线切割加工的材料范围是____。,single,黑色金属,非淬火材料,硬度必须小于HRC30,各种硬度的导电材料,,,D,,,特种加工,
366,下列型面，哪种可用线切割机床加工?,single,方形不通孔,手柄的曲线回转面,淬火钢件上的多边形通孔,光学玻璃上的窄缝,,,C,,,特种加工,
367,线切割机床加工时金属丝相对工件作什么样的运动?,single,不动,沿一个方向高速移动,作正、反向交替的高速移动,作正、反向交替的间歇运动,,,C,,,特种加工,
368,线切割机床切割工件时的进给运动是如何实现的?,single,金属丝作进给运动,工作台作进给运动,金属丝与工作台同时运动,,,,B,,,特种加工,
369,数控线切割机床工作台的X、Y两个方向的移动是由什么零件和元件驱动的?,single,由普通交流电机和齿轮驱动,由步进电机和丝杠驱动,由普通交流电机和丝杠驱动,由液压系统驱动,,,B,,,特种加工,
370,线切割机床上工件与金属丝之间所用的电源是哪一种?,single,交流电源,直流电源,脉冲电源,高压电源,,,C,,,特种加工,
371,电火花线切割加工的尺寸精度可达:,single,0.1~0.2mm,0.09~0.03mm,0.01~0.02mm,,,,C,,,特种加工,
372,我国数控线切割机床采用统一的五指令3B程序格式，即BXBYBJGZ其B代表:,single,计数长度,计算方向,分隔符,加工指令,,,C,,,特种加工,
373,"数控线切割机床直线编程时，把直线的终点坐标值作为x,y，均取绝对值，单位为:",single,mm,m,μm,cm,,,A,,,特种加工,
374,数控线切割机床圆弧编程时把圆弧的____作为坐标的原点。,single,圆心,起点,终点,,,,A,,,特种加工,
375,数控线切割的工具电极是____。,single,片状,柱状,块状,,,,B,,,特种加工,
376,数控线切割是利用工具对工件进行____去除金属的。,single,切削加工,化学溶解,脉冲放电,,,,C,,,特种加工,
377,激光切割的断面____。,single,平面,斜面,曲面,,,,A,,,特种加工,
378,激光加工是利用____将激光束聚焦成一个极小的光斑。,single,数控系统,光学系统,伺服系统,电液系统,,,B,,,特种加工,
379,激光加工的特点，下列哪种说法不对,single,激光加工能量高,激光加工属于非接触式加工,激光加工精度低,,,,C,,,特种加工,
380,激光的特性不包括____。,single,单色性好,方向性好,多种颜色的光,接近于平行光,,,C,,,特种加工,
381,线切割机床可加工下列哪几种材料?,multi,45钢,淬火钢,硬质合金,尼龙,,,ABC,,,特种加工,
382,在厚度为20mm的钢板坯料上加工形状为五角星的通孔，数量为10件，可在什么机床上加工?,multi,冲床,拉床,插床,线切割机床,,,CD,,,特种加工,
383,电火花线切割机床的刀具具有如下特点:,multi,刀具结构简单,刀具结构复杂,刀具材料硬度须高于工件材料硬度,刀具材料硬度可以低于工件材料强度,,,AD,,,特种加工,
384,电火花线切割机床常用的刀具材料是,multi,黄铜,工具钢,钼丝,硬质合质,,,AC,,,特种加工,
385,特种加工的工艺特点是____。,multi,刀具材料必须比工件材料硬,刀具与工件间的机械力不明显,工件材料可以比刀具材料硬,刀具与工件间的机械力明显,,,BC,,,特种加工,
386,电火花线切割机床与普通机床切削液作用不同点是____。,multi,灭弧,冷却,绝缘,润滑,排屑,,AC,,,特种加工,
387,电火花加工工作液的作用与普通机床的切削液的相同点是?,multi,灭弧,绝缘,冷却,润滑,排屑,,CDE,,,特种加工,
388,线切割加工的工艺特点____。,multi,切削力大,切屑少,热影响区大,热影响区小,,,BD,,,特种加工,
389,激光束在激光加工时的特点是____。,multi,亮度高,功率大,方向性好,材料不易氧化,,,ABC,,,特种加工,
390,激光加工是利用____能源进行加工的一种加工方法。,single,热能,机械能,电能,光能,,,D,,,特种加工,
